#Leapfrog 3D bezier polyline file (v1.2).
#Point X, Point Y, Point Z, Normal X, Normal Y, Normal Z, Control0 X, Control0 Y, Control0 Z, Control1 X, Control1 Y, Control1 Z, STangent X, STangent Y, STangent Z
421344.695714, 4391785.64002, 3659.59905077, None, None, None, 421344.695714, 4391785.64002, 3659.59905077, 421344.695714, 4391785.64002, 3659.59905077, 0, 0, 0
421345.575347, 4391787.55567, 3659.12250657, None, None, None, 421345.575347, 4391787.55567, 3659.12250657, 421345.575347, 4391787.55567, 3659.12250657, 0, 0, 0
421347.70303, 4391792.18929, 3657.48491381, None, None, None, 421347.70303, 4391792.18929, 3657.48491381, 421347.70303, 4391792.18929, 3657.48491381, 0, 0, 0
421349.963102, 4391797.11122, 3655.7454265, None, None, None, 421349.963102, 4391797.11122, 3655.7454265, 421349.963102, 4391797.11122, 3655.7454265, 0, 0, 0
421350.291168, 4391797.82568, 3655.56769598, None, None, None, 421350.291168, 4391797.82568, 3655.56769598, 421350.291168, 4391797.82568, 3655.56769598, 0, 0, 0
421350.710347, 4391798.73856, 3655.34060446, None, None, None, 421350.710347, 4391798.73856, 3655.34060446, 421350.710347, 4391798.73856, 3655.34060446, 0, 0, 0
421352.338236, 4391802.28374, 3653.91738102, None, None, None, 421352.338236, 4391802.28374, 3653.91738102, 421352.338236, 4391802.28374, 3653.91738102, 0, 0, 0
421353.717663, 4391805.28782, 3652.85569065, None, None, None, 421353.717663, 4391805.28782, 3652.85569065, 421353.717663, 4391805.28782, 3652.85569065, 0, 0, 0
421354.350858, 4391806.66678, 3652.36834644, None, None, None, 421354.350858, 4391806.66678, 3652.36834644, 421354.350858, 4391806.66678, 3652.36834644, 0, 0, 0
421356.72498, 4391811.83709, 3651.08215815, None, None, None, 421356.72498, 4391811.83709, 3651.08215815, 421356.72498, 4391811.83709, 3651.08215815, 0, 0, 0
421357.71106, 4391813.98455, 3650.22005247, None, None, None, 421357.71106, 4391813.98455, 3650.22005247, 421357.71106, 4391813.98455, 3650.22005247, 0, 0, 0
